"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Access Control Devices and Systems","VeroGuard HSM Digital ID for Open Networks v1.0","VeroGuard Systems Pty Ltd","AU","EAL2+,ALC_FLR.1","","02/23/2022","02/23/2027","http://www.commoncriteriaportal.org:80/files/epfiles/EFC-T092-VeroGuard-V1.0_CR-V1.1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/EFC-T092_VeroGuard HSM Digital ID_Security_Target.v1.20.pdf","","","",""
"Access Control Devices and Systems","SafeIdentity v5.1","Hancom With Inc.","KR","None","KECS-PP-0822A-2017 SSO V1.1","11/05/2021","11/05/2026","http://www.commoncriteriaportal.org:80/files/epfiles/2021-11-03_KECS-CR-21-63 Certification Report(SafeIdentity v5.1) V1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/SafeIdentity v5.1 Security Target(ST) v1.2.pdf","","","",""
"Access Control Devices and Systems","Bandi SSO v7.0","Bandi S","KR","None","KECS-PP-0822A-2017 SSO V1.1","09/08/2021","09/08/2026","http://www.commoncriteriaportal.org:80/files/epfiles/[KECS-CR-21-52] Certification Report(Bandi SSO v7.0) V1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Bandi_SSO_v7.0_ST_v006_eng.pdf","","","",""
"Access Control Devices and Systems","DriveLock Agent 2019.2 (Device and  Application Control) SP 1","DriveLock SE","SE","EAL3,ALC_FLR.3","","04/07/2021","04/07/2026","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report - DriveLock Agent 2019.2.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST - DriveLock.pdf","","","",""
"Biometric Systems and Devices","Pradotec BioCard v1.0","Pradotec Sales & Services Sdn Bhd","MY","EAL1","","11/07/2024","11/07/2029","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C137-CR-v1a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/PRADOTECBIOCARD Security Target-1.0.pdf","","","",""
"Biometric Systems and Devices","biocertiX – handwritten biometric signatures on PDF documents, version 1.1","Asseco Data Systems S.A.","PL","EAL2","","02/29/2024","02/28/2029","http://www.commoncriteriaportal.org:80/files/epfiles/biocertiX-CR-NASK_2021-5-REP-84.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/biocertiX-STLite-NASK_2021-5-EXT-1249.pdf","11/12/2025","[2025-1] Maintenance Report on biocertiX - handwritten biometric signatures on PDF documents, version 1.2","http://www.commoncriteriaportal.org:80/files/epfiles/2025-1-REP-100.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/2025-1-EXT-1565.pdf"
"Biometric Systems and Devices","biocertiX – handwritten biometric signatures on PDF documents, version 1.1","Asseco Data Systems S.A.","PL","EAL2","","02/29/2024","02/28/2029","http://www.commoncriteriaportal.org:80/files/epfiles/biocertiX-CR-NASK_2021-5-REP-84.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/biocertiX-STLite-NASK_2021-5-EXT-1249.pdf","","","",""
"Boundary Protection Devices and Systems","Waterfall Unidirectional Security Gateway WF-600 Version F","Waterfall Security Solutions Ltd.","SG","EAL4+,ALC_DVS.2,ALC_FLR.2,AVA_VAN.5","","08/08/2025","08/08/2030","http://www.commoncriteriaportal.org:80/files/epfiles/Waterfall WF-600 Certificate Report.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/-DD- [ST] ST Waterfall Security Target-WF-600 v2.0 2025.pdf","","","",""
"Boundary Protection Devices and Systems","Waterfall WF-600 Waterfall-Security Unidirectional Security Gateway, revision F","Waterfall Security Solutions Ltd.","NL","EAL4+,ALC_DVS.2,ALC_FLR.2,AVA_VAN.5","","05/29/2025","05/29/2030","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2400089-01.1-CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2400089-01-ST.pdf","","","",""
"Boundary Protection Devices and Systems","OPSWAT NetWall Unidirectional Security Gateway USG-100 v1.0.0","OPSWAT, Inc.","IT","EAL4+,ALC_DVS.2,ALC_FLR.2,AVA_VAN.5","","05/09/2025","05/09/2030","http://www.commoncriteriaportal.org:80/files/epfiles/cr_opswat_usg-100_v1.0.0_v1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_opswat_usg-100_v1.0.0_v1.7.pdf","","","",""
"Boundary Protection Devices and Systems","Senetas CN 4000/6000 Series Ethernet Encryptors v5.5.0","Senetas Corporation Ltd, Distributed by Thales SA (SafeNet)","CA","EAL2+,ALC_FLR.2","","03/25/2025","03/25/2030","http://www.commoncriteriaportal.org:80/files/epfiles/606-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/606-LSS ST v1.4.pdf","06/24/2025","Senetas CN 4000/6000 Series Ethernet Encryptors v5.5.1","http://www.commoncriteriaportal.org:80/files/epfiles/606-LSS MR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/606-LSS ST v1.0.pdf"
"Boundary Protection Devices and Systems","Senetas CN 4000/6000 Series Ethernet Encryptors v5.5.0","Senetas Corporation Ltd, Distributed by Thales SA (SafeNet)","CA","EAL2+,ALC_FLR.2","","03/25/2025","03/25/2030","http://www.commoncriteriaportal.org:80/files/epfiles/606-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/606-LSS ST v1.4.pdf","","","",""
"Boundary Protection Devices and Systems","Senetas CN 9000 Series Ethernet Encryptors v5.5.0","Senetas Corporation Ltd, Distributed by Thales SA (SafeNet)","CA","EAL2+,ALC_FLR.2","","03/25/2025","03/25/2030","http://www.commoncriteriaportal.org:80/files/epfiles/647-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/647-LSS ST v1.6.pdf","06/24/2025","Senetas CN 9000 Series Ethernet Encryptors v5.5.1","http://www.commoncriteriaportal.org:80/files/epfiles/647-LSS MR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/647-LSS ST v1.0.pdf"
"Boundary Protection Devices and Systems","Senetas CN 9000 Series Ethernet Encryptors v5.5.0","Senetas Corporation Ltd, Distributed by Thales SA (SafeNet)","CA","EAL2+,ALC_FLR.2","","03/25/2025","03/25/2030","http://www.commoncriteriaportal.org:80/files/epfiles/647-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/647-LSS ST v1.6.pdf","","","",""
"Boundary Protection Devices and Systems","Clavister cOS Core v15Versions:15.00.00.10-3919115.00.00.10-39192","Clavister AB","SE","EAL4+,ALC_FLR.1","","02/27/2025","02/27/2030","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report Clavister cOS Core 15.00.00_1-0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST Clavister cOS Core 15.00 vG.pdf","","","",""
"Boundary Protection Devices and Systems","Cisco cEdge Routers running IOS XE 17.12 with SD-WAN 20.12","Cisco Systems, Inc.","CA","EAL2+,ALC_FLR.2","","12/18/2024","12/18/2029","http://www.commoncriteriaportal.org:80/files/epfiles/654-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/654-LSS ST v1.2.pdf","","","",""
"Boundary Protection Devices and Systems","SDoT Software Data Diode, SDoT SDD 1.3i","INFODAS GmbH","DE","EAL5+,ALC_FLR.2,AVA_VAN.5","","12/05/2024","12/05/2029","http://www.commoncriteriaportal.org:80/files/epfiles/1193a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1193b_pdf.pdf","","","",""
"Boundary Protection Devices and Systems","OPSWAT NetWall Optical Diode OD-101 v1.0.1","OPSWAT, Inc.","IT","EAL4+,ALC_DVS.2,ALC_FLR.2,AVA_VAN.5","","08/22/2024","08/22/2029","http://www.commoncriteriaportal.org:80/files/epfiles/cr_opswat_od-101_v1.0.1_v1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_opswat_od-101_v1.0.1_v1.0_en.pdf","","","",""
"Boundary Protection Devices and Systems","DefensePro and APSolute Vision Attack Mitigation System (APSolute Vision 4.85.00, DefensePro 8.26.1.0)","Radware, LTD.","ES","EAL2","","08/13/2024","08/13/2029","http://www.commoncriteriaportal.org:80/files/epfiles/2021-41_INF-4381.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/2021-41_ST.pdf","","","",""
"Boundary Protection Devices and Systems","A.R.I.C. NDS Optical Industry Data Diode, version 2.0.0","Dynacon Sp. z o.o.","PL","EAL3","","10/24/2023","10/24/2028","http://www.commoncriteriaportal.org:80/files/epfiles/A.R.I.C.NDSOpticalIndustryDataDiode-_NASK_2020_5_REP-86.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/A.R.I.C.NDSOpticalIndustryDataDiode-STLITE_NASK_2020_5_EXT-1260.pdf","","","",""
"Boundary Protection Devices and Systems","Fort Fox Hardware Data Diode FFHDD3_1/10","Fox-IT B.V.","NL","EAL7+,ALC_FLR.3,ASE_TSS.2","","09/19/2023","09/19/2028","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2300039-01-CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2300039-01-ST-v3.3.pdf","04/12/2024","Fort Fox Hardware Data Diode FFHDD3_1/10","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2300039-01-MA1-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2300039-01-MA1-ST_v3.4.pdf"
"Boundary Protection Devices and Systems","Fort Fox Hardware Data Diode FFHDD3_1/10","Fox-IT B.V.","NL","EAL7+,ALC_FLR.3,ASE_TSS.2","","09/19/2023","09/19/2028","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2300039-01-CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-2300039-01-ST-v3.3.pdf","","","",""
"Boundary Protection Devices and Systems","SDoT Filter SW Version 6.2a Revision 6.2.15566.31149","INFODAS GmbH","SG","EAL4+,ALC_FLR.2,AVA_VAN.5","","09/07/2023","09/07/2028","http://www.commoncriteriaportal.org:80/files/epfiles/-CER-SDoT-Filter-SW-Certificate-Report.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST_SDoTSGW6.2a_SecurityTarget_Lite.pdf","","","",""
"Boundary Protection Devices and Systems","Fortinet, Inc. FortiOS 6.4.9","Fortinet, Inc.","NL","EAL4+,ALC_FLR.3","","08/14/2023","08/14/2028","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0587886-cr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/fortinet_fortigate_6.4.9_eal4_st_2.0.pdf","","","",""
"Boundary Protection Devices and Systems","Fortinet, Inc. FortiOS 7.0.7","Fortinet, Inc.","NL","EAL4+,ALC_FLR.3","","08/14/2023","08/14/2028","http://www.commoncriteriaportal.org:80/files/epfiles/cr-cc-23-0590233.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/fortinet_fortigate_7.0.7_eal4_st_2.0.pdf","","","",""
"Boundary Protection Devices and Systems","DataDiodeX Modules v1.0.0","Dataflowx Teknoloji A.S.","TR","EAL4+,AVA_VAN.5","","06/13/2023","06/13/2028","http://www.commoncriteriaportal.org:80/files/epfiles/Dataflowx CERTIFICATION REPORT.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/DataDiodeX_ST Lite.pdf","","","",""
"Boundary Protection Devices and Systems","Waterfall WF-500 version 2","Waterfall Security Solutions Ltd.","SG","EAL4+,ALC_DVS.2,ALC_FLR.2,AVA_VAN.5","","05/16/2023","05/16/2028","http://www.commoncriteriaportal.org:80/files/epfiles/[CER] Certificate Report - Waterfall WF-500 V2.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/[DD] Waterfall Security Target-WF-500_2.0 V3.0.pdf","","","",""
"Boundary Protection Devices and Systems","Antikor Next Generation Firewall Management v2.0.1188","Epati Siber Güvenlik Tek. San. ve Tic. A.S.","TR","EAL4+,ALC_FLR.1","","04/17/2023","04/17/2028","http://www.commoncriteriaportal.org:80/files/epfiles/Antikor Next Gen Firewall CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST Document.pdf","","","",""
"Boundary Protection Devices and Systems","genuscreen 8.0","genua GmbH","DE","EAL4+,ALC_FLR.2,ALC_PAM.1,ASE_TSS.2,AVA_VAN.4","","04/06/2023","04/05/2028","http://www.commoncriteriaportal.org:80/files/epfiles/1194a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1194b_pdf.pdf","11/17/2023","genuscreen 8.0 as part of genuscreen8.0p15/genucenter 8.0p7/SIP Relay module 8.0p15","http://www.commoncriteriaportal.org:80/files/epfiles/1194MA01a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1194MA01b_pdf.pdf"
"Boundary Protection Devices and Systems","genuscreen 8.0","genua GmbH","DE","EAL4+,ALC_FLR.2,ALC_PAM.1,ASE_TSS.2,AVA_VAN.4","","04/06/2023","04/05/2028","http://www.commoncriteriaportal.org:80/files/epfiles/1194a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1194b_pdf.pdf","","","",""
"Boundary Protection Devices and Systems","Waterfall Unidirectional Security Gateway WF-500, Version 2.0","Waterfall Security Solutions Ltd.","NL","EAL4+,ALC_DVS.2,ALC_FLR.2,AVA_VAN.5","","03/24/2023","03/24/2028","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0618820-CR-1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0618820-STv3.pdf","","","",""
"Boundary Protection Devices and Systems","Cisco Firepower Threat Defense (FTD) 6.4 with FMC and AnyConnect","Cisco Systems, Inc. 170 West Tasman  Dr.  San Jose, CA 95134-1706 USA","NL","EAL4+,ALC_FLR.2","","10/07/2022","10/07/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0259553-CR-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0259553-st-v1.0.pdf","","","",""
"Boundary Protection Devices and Systems","Hillstone SG-6000 A-Series NGFW and StoneOS 5.5R9","Hillstone Network Corp.","NL","EAL4,ALC_FLR.1","","09/27/2022","09/27/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0476172-CR-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0476172-ST_V1.1.pdf","","","",""
"Boundary Protection Devices and Systems","Owl XDE Radium v1.3","Owl Cyber Defense Solutions, LLC","SE","EAL4+,AVA_VAN.4","","09/19/2022","09/19/2027","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report - Owl XDE Radium v13.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Owl XDE Radium_SecurityTarget_EAL4 plus_V1.3.pdf","","","",""
"Boundary Protection Devices and Systems","McAfee Endpoint Security 10.7.x with ePolicy Orchestrator 5.10.x","Trellix","CA","EAL2+,ALC_FLR.2","","07/28/2022","07/28/2027","http://www.commoncriteriaportal.org:80/files/epfiles/555-EWA CR v1.1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/MFE ENS 10-7 ST 10 July 22.pdf","","","",""
"Boundary Protection Devices and Systems","AhnLab CPP 1.0","AhnLab, Inc.","CA","EAL2+,ALC_FLR.1","","07/14/2022","07/14/2027","http://www.commoncriteriaportal.org:80/files/epfiles/570 LSS CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/570-LSS AhnLab CPP Security Target_2.5.pdf","","","",""
"Boundary Protection Devices and Systems","ST Engineering Data Diode Model 5282, version 2.2.1055 & Model 5283 version 2.2.1055","ST Engineering Electronics","SG","EAL4+,AVA_VAN.5","","07/08/2022","07/08/2027","http://www.commoncriteriaportal.org:80/files/epfiles/[CER] Certificate Report - ST Engineering Data Diode model 5282 and 5283.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/[DD] STEng Data Diode Security Target_v4.0_EAL4.pdf","","","",""
"Boundary Protection Devices and Systems","Trend Micro Deep Security 20","Trend Micro Inc.","CA","EAL2+,ALC_FLR.1","","05/31/2022","05/31/2027","http://www.commoncriteriaportal.org:80/files/epfiles/561-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/561-LSS ST v12.0.pdf","","","",""
"Boundary Protection Devices and Systems","TNOR Guard v. 1.1.3","Thales Norway AS","NO","EAL4+,ALC_FLR.3,AVA_VAN.4","","05/12/2022","05/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/SERTIT-120 CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/TNOR Guards 739_20726_aaaa_sc_ed10-4-public.pdf","05/21/2025","Maintenance of TNOR Guard","http://www.commoncriteriaportal.org:80/files/epfiles/Maintenance Report Guard.pdf",""
"Boundary Protection Devices and Systems","TNOR Guard v. 1.1.3","Thales Norway AS","NO","EAL4+,ALC_FLR.3,AVA_VAN.4","","05/12/2022","05/12/2027","http://www.commoncriteriaportal.org:80/files/epfiles/SERTIT-120 CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/TNOR Guards 739_20726_aaaa_sc_ed10-4-public.pdf","","","",""
"Boundary Protection Devices and Systems","FortiGate/FortiOS Version 6.2.7","Fortinet, Inc.","CA","None","CPP_ND_V2.2E,MOD_CPP_FW_V1.4E,MOD_IPS_V1.0,","01/14/2022","01/14/2026","http://www.commoncriteriaportal.org:80/files/epfiles/559-LSS CR v1.1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/559-LSS ST v1.7.pdf","","","",""
"Boundary Protection Devices and Systems","Fortinet FortiGate™ Next Generation Firewalls with FortiOS 6.2.7","Fortinet, Inc.","CA","EAL4+,ADV_FSP.3","","10/15/2021","10/15/2026","http://www.commoncriteriaportal.org:80/files/epfiles/515-EWA CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/515-EWA ST 1.10.pdf","","","",""
"Boundary Protection Devices and Systems","SDoT Security Gateway, Version 6.2i","INFODAS  Gesellschaft für Systementwicklung und informationsverarbeitung mbH","DE","EAL4+,ALC_FLR.2","","09/27/2021","09/27/2026","http://www.commoncriteriaportal.org:80/files/epfiles/1129a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1129b_pdf.pdf","","","",""
"Boundary Protection Devices and Systems","Blackline Systems Corporation BSC-CDS Unidirectional Subsystem PN: 710-0185-00","Blackline Systems Corporation","CA","EAL4+,ADV_INT.2,ALC_CMC.5,ALC_CMS.5,ALC_DVS.2,ALC_FLR.3,ATE_DPT.2,AVA_VAN.4","","09/15/2021","09/15/2026","http://www.commoncriteriaportal.org:80/files/epfiles/531-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/531-LSS ST v0.9.pdf","","","",""
"Boundary Protection Devices and Systems","Sphyrna Security Unidirectional Gateway - Data Diode Identifier: 2010-UG100-SSI","Sphyrna Security Incorporated","CA","EAL4+,ADV_INT.2,ALC_CMC.5,ALC_CMS.5,ALC_DVS.2,ALC_FLR.3,ATE_DPT.2,AVA_VAN.4","","09/07/2021","09/07/2026","http://www.commoncriteriaportal.org:80/files/epfiles/536-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/536-LSS ST v1.0.pdf","11/07/2024","Sphyrna Security Unidirectional Gateway - Data Diode Identifier: NGXS UGW-200","http://www.commoncriteriaportal.org:80/files/epfiles/536-LSS MR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/536-LSS ST v2.1.pdf"
"Boundary Protection Devices and Systems","Sphyrna Security Unidirectional Gateway - Data Diode Identifier: 2010-UG100-SSI","Sphyrna Security Incorporated","CA","EAL4+,ADV_INT.2,ALC_CMC.5,ALC_CMS.5,ALC_DVS.2,ALC_FLR.3,ATE_DPT.2,AVA_VAN.4","","09/07/2021","09/07/2026","http://www.commoncriteriaportal.org:80/files/epfiles/536-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/536-LSS ST v1.0.pdf","","","",""
