category_id,category_name,description,subcategories,example_products,primary_use_cases,target_industries,pqc_migration_priority,typical_integration_points
CSC-011,Secure Messaging and Communication,End-to-end encrypted messaging and communication platforms,"Messaging apps, Voice/Video encryption, Secure collaboration, Protocol implementations","Signal, Wire, Wickr, Element/Matrix, Threema, Keybase, Silent Circle","Secure communications, Privacy, Executive communications, Classified discussions","Defense, Government, Finance, Healthcare",High,"Mobile devices, Desktop clients, Communication servers"
CSC-012,Password and Credential Management,Software for secure storage and management of passwords and credentials,"Password managers, Privileged access management, Credential vaults, Password hashing libraries","CyberArk, BeyondTrust, Thycotic/Delinea, 1Password Business, LastPass Enterprise, Bitwarden, KeePass","Credential security, Privileged access, Password rotation, SSO integration","All industries",Medium,"Identity systems, Applications, Privileged workstations"
CSC-013,Tokenization Software,Software for replacing sensitive data with non-sensitive tokens,"Payment tokenization, Data tokenization, Format-preserving tokenization","Voltage SecureData, Thales CipherTrust Tokenization, TokenEx, Protegrity, Prime Factors","PCI compliance, Data protection, Privacy, De-identification","Finance, Healthcare, Retail",Medium,"Payment systems, Databases, Data warehouses, Analytics platforms"
CSC-014,SSH Implementation Software,Software implementing Secure Shell protocol,"SSH clients, SSH servers, SSH key management, SSH certificate authorities","OpenSSH, PuTTY, Bitvise SSH, Teleport, SSH.com Tectia, Axway SecureTransport","Secure remote administration, File transfer, Tunneling, DevOps access","All industries",High,"Servers, Network devices, CI/CD systems, Jump hosts"
CSC-015,API Security and JWT Libraries,Software for securing APIs using cryptographic methods,"JWT libraries, OAuth implementations, API gateways with crypto, mTLS solutions","Auth0, Okta, Kong, Apigee, jose4j, nimbus-jose-jwt, jsonwebtoken, passport-jwt","API authentication, Authorization, Token management, Service mesh security","All industries",High,"API gateways, Microservices, Mobile backends, B2B integrations"
CSC-016,Post-Quantum Cryptography Libraries,Libraries implementing quantum-resistant algorithms,"PQC reference implementations, Hybrid implementations, PQC-enabled TLS, Lattice-based libraries","liboqs, PQClean, CIRCL, PQCrypto-VPN, Open Quantum Safe, BouncyCastle PQC, wolfSSL PQC","Quantum-safe encryption, Future-proof security, Crypto agility, Hybrid key exchange","All industries",Critical,"All systems requiring long-term security, Classified systems, Financial infrastructure"
CSC-017,Code Signing and Software Integrity,Software for signing and verifying code and software packages,"Authenticode signing, JAR signing, Package signing, Notarization tools","DigiCert Secure Software Manager, SignPath, SignTool, jarsigner, GPG, Sigstore/Cosign, Notary","Software supply chain security, Malware prevention, Trust verification","All industries",High,"CI/CD pipelines, App stores, Software distribution, Container registries"
CSC-018,Cryptographic Protocol Analyzers,Tools for analyzing and testing cryptographic implementations,"TLS scanners, Cipher suite analyzers, Protocol fuzzers, Compliance checkers","SSLyze, testssl.sh, Nmap NSE scripts, Qualys SSL Labs, CryptoLyzer, Cryptosense Analyzer Platform","Security assessment, Compliance verification, Vulnerability detection, Crypto inventory","All industries",Medium,"Security operations, Compliance audits, Penetration testing"
CSC-019,Secure Enclave and TEE Software,Software for Trusted Execution Environments and secure enclaves,"Intel SGX SDKs, ARM TrustZone tools, Confidential computing frameworks","Intel SGX SDK, Open Enclave SDK, Asylo, AWS Nitro Enclaves, Azure Confidential Computing, Fortanix","Confidential computing, Secure processing, Key protection, Multi-party computation","Finance, Healthcare, Cloud, Government",Medium,"Cloud workloads, Sensitive data processing, Key management"
CSC-020,Blockchain and DLT Cryptography,Cryptographic components for blockchain and distributed ledger systems,"Consensus mechanisms, Digital wallets, Smart contract security, Key custody","Hyperledger Fabric crypto, Ethereum crypto libraries, BitGo, Fireblocks, Ledger Enterprise, Curv","Digital assets, Smart contracts, DeFi, Supply chain tracking","Finance, Supply Chain, Government",Medium,"DLT nodes, Wallet systems, Exchange platforms"
CSC-021,Random Number Generation Software,Software for cryptographically secure random number generation,"Hardware RNG interfaces, CSPRNG implementations, Entropy collection, DRBG implementations","OpenSSL RAND, /dev/urandom interfaces, Intel RDRAND wrappers, Fortuna, HAVEGED","Key generation, Nonce creation, IV generation, Cryptographic protocol operations","All industries",High,"All cryptographic systems, Key management, Protocol implementations"
CSC-022,Homomorphic Encryption Libraries,Software enabling computation on encrypted data,"Fully homomorphic encryption, Partially homomorphic, Leveled HE","Microsoft SEAL, IBM HELib, PALISADE, TFHE, OpenFHE, Concrete","Privacy-preserving analytics, Secure multi-party computation, Encrypted search","Healthcare, Finance, Government",Low,"Analytics platforms, Machine learning, Data collaboration"
CSC-023,Certificate Transparency and Monitoring,Software for monitoring and verifying certificate issuance,"CT log monitors, Certificate inventory, Rogue certificate detection","Censys, crt.sh, Facebook Certificate Transparency, Keyfactor Command, Venafi","Certificate visibility, Fraud detection, Compliance monitoring, Attack detection","All industries",Medium,"Security operations, PKI management, Brand protection"
CSC-024,Identity-Based Encryption Software,Software implementing identity-based cryptographic schemes,"IBE implementations, Attribute-based encryption, Functional encryption","Charm-Crypto, MIRACL, Voltage IBE (now Micro Focus)","Simplified key management, Policy-based access, Email encryption without PKI","Enterprise, Government",Low,"Email systems, Document protection, Access control"
CSC-025,Cryptographic Agility Frameworks,Software enabling algorithm and protocol flexibility,"Crypto abstraction layers, Algorithm negotiation, Migration tools","Cryptosense Analyzer, InfoSec Global AgileSec, Keyfactor, ISARA Radiate","PQC migration, Algorithm updates, Compliance adaptation, Crypto modernization","All industries",Critical,"Enterprise-wide, All cryptographic touchpoints"
CSC-026,Secure Boot and Firmware Security,Software for cryptographic verification of boot processes,"UEFI Secure Boot, Measured boot, Firmware signing, TPM integration","Microsoft Secure Boot, Coreboot, U-Boot verified boot, TPM2 Software Stack","Platform integrity, Firmware protection, Supply chain security, Anti-tampering","All industries",High,"Endpoints, Servers, IoT devices, Embedded systems"
CSC-027,Data Loss Prevention with Encryption,DLP solutions with integrated cryptographic controls,"Content-aware encryption, Rights management, Endpoint encryption triggers","Symantec DLP, Digital Guardian, Forcepoint DLP, Microsoft Purview, Trellix DLP","Data classification, Automated encryption, Compliance enforcement, Insider threat","All industries",Medium,"Endpoints, Email gateways, Cloud applications, Network egress"
CSC-028,Cloud Encryption Gateways,Software providing encryption for cloud services,"CASB encryption, Cloud storage encryption, SaaS encryption proxies","Skyhigh CASB, Netskope, Lookout CASB, CipherCloud (now Lookout), Virtru for Google/M365","Cloud data protection, Key control, Compliance in cloud, Multi-cloud security","All industries",High,"Cloud applications, SaaS platforms, Cloud storage"
CSC-029,Payment Cryptography Systems,Specialized cryptographic software for payment processing,"P2PE solutions, PIN translation, EMV cryptography, Payment HSM software","Thales payShield, Futurex Hardened Enterprise Security Platform, Utimaco Atalla, ACI Worldwide","Payment security, PCI compliance, Card issuance, Transaction processing","Finance, Retail",Critical,"Payment terminals, Acquiring systems, Card networks, Mobile payments"
CSC-030,Quantum Key Distribution Software,Software for managing quantum key distribution systems,"QKD network management, Key relay, Integration middleware","ID Quantique Cerberis, Toshiba QKD, MagiQ Technologies, QuintessenceLabs","Ultra-secure key exchange, Quantum networking, Long-term security","Defense, Government, Finance",Low,"Dedicated QKD networks, High-security links"
