category,id,label,description,industries,hndl_relevance,migration_priority,retention_years,compliance_deadline,compliance_notes,countries
use_case,MEDICAL-DEVICE,Medical device communication,Encrypted telemetry for connected medical devices,Healthcare,8,9,,,,,
use_case,EHR,EHR/FHIR data exchange,Secure exchange of electronic health records via HL7/FHIR,Healthcare,9,8,,,,,
use_case,V2X,V2X communication,Vehicle-to-everything communication security (DSRC/C-V2X),Automotive,7,9,,,,,
use_case,OTA,OTA firmware updates,Signed over-the-air vehicle and device software updates,"Automotive;Energy & Utilities",5,9,,,,,
use_case,ECU-BOOT,ECU secure boot,Root-of-trust for automotive electronic control units,Automotive,4,8,,,,,
use_case,SCADA,SCADA/OT system security,Cryptographic controls for industrial control systems,"Energy & Utilities;Aerospace",8,9,,,,,
use_case,SMART-METER,Smart meter communication,Encrypted AMI/AMR infrastructure for utility metering,Energy & Utilities,7,7,,,,,
use_case,AVIONICS,Avionics communication,Encrypted and authenticated flight-critical avionics comms,Aerospace,8,10,,,,,
use_case,SATELLITE,Satellite link encryption,Long-lived key protection for satellite command and telemetry,Aerospace,10,9,,,,,
use_case,PKI-HSPD12,PKI / HSPD-12,Federal identity credentialing and PIV card cryptography,Government & Defense,6,9,,,,,
use_case,CLASSIFIED,Classified data exchange,Cryptographic protection of classified communications,Government & Defense,10,10,,,,,
use_case,DNS-DNSSEC,DNS/DNSSEC,DNS resolution integrity and DNSSEC zone signing,"Technology;Telecommunications",3,8,,,,,
use_case,TIMESTAMPING,Timestamping services,Long-lived cryptographic timestamps for legal and financial evidence,"Finance & Banking;Government & Defense",9,7,,,,,
use_case,BACKUP-ENC,Backup/archive encryption,Encryption of backup tapes and cloud archives and disaster recovery stores,"Healthcare;Finance & Banking;Government & Defense",9,6,,,,,
use_case,API-GATEWAY,API gateway / microservices,mTLS and JWT signing for service-to-service communication,"Technology;Finance & Banking",5,8,,,,,
use_case,SECURE-BOOT,Secure boot (non-automotive),Root-of-trust and firmware verification for servers and devices,"Technology;Government & Defense",4,8,,,,,
retention,under-1y,Less than 1 year,Short-lived sessions and temporary tokens,"Technology;Retail & E-Commerce;Telecommunications;Education",,,1,,,
retention,1-5y,1-5 years,Typical business records and customer data,"Technology;Education;Retail & E-Commerce",,,5,,,
retention,5-10y,5-10 years,Financial records and audit trails,"Finance & Banking;Healthcare;Energy & Utilities;Telecommunications",,,10,,,
retention,10-25y,10-25 years,"Healthcare records, legal documents and PII","Healthcare;Finance & Banking;Government & Defense;Aerospace;Education",,,25,,,
retention,25-plus,25+ years,Regulatory archives and long-lived institutional records,"Government & Defense;Aerospace",,,30,,,
retention,indefinite,Indefinite,"Classified data, state secrets and cryptographic keys",Government & Defense,,,50,,,
retention,2y,2 years (CDR / telecom),Call detail records typical retention for mobile operators,Telecommunications,,,2,,,
retention,6y,6 years (HIPAA minimum),Minimum retention under HIPAA for protected health information,Healthcare,,,6,,,
retention,7y,7 years (financial records),Standard regulatory records retention for financial institutions,Finance & Banking,,,7,,,
retention,75y-plus,75+ years (government archival),Long-lived government and national security archival records,Government & Defense,,,75,,,
retention,permanent,Permanent (state secrets),Records with no defined expiration date,Government & Defense,,,100,,,
sensitivity,phi,Protected Health Information (PHI),"Patient records, diagnoses, prescriptions, lab results",Healthcare,15,,,,,
sensitivity,genomic-data,Genomic / clinical trial data,"DNA sequencing, biobank records, longitudinal research",Healthcare,25,,,,,
sensitivity,admin-health,Administrative health records,"Scheduling, billing codes, facility operations",Healthcare,5,,,,,
sensitivity,customer-financial,Customer financial records,"Account balances, transactions, credit scores, PII",Finance & Banking,15,,,,,
sensitivity,trading-algos,Trading algorithms / proprietary models,"HFT strategies, risk models, pricing engines",Finance & Banking,25,,,,,
sensitivity,transaction-logs,Transaction logs,"Audit trails, reconciliation records, batch processing data",Finance & Banking,5,,,,,
sensitivity,classified-info,Classified information (TS/SCI),"National security data, intelligence products",Government & Defense,25,,,,,
sensitivity,cui,Controlled Unclassified Information (CUI),"Export-controlled data, law enforcement sensitive",Government & Defense,15,,,,,
sensitivity,fouo,Internal government data (FOUO),"Pre-decisional documents, internal correspondence",Government & Defense,5,,,,,
sensitivity,network-topology,Network topology / configurations,"Core network architecture, routing tables, SS7 configs",Telecommunications,25,,,,,
sensitivity,cdr,Call detail records (CDR),"Subscriber communications metadata, location data",Telecommunications,15,,,,,
sensitivity,subscriber-meta,Subscriber metadata,"Account info, service plans, billing data",Telecommunications,5,,,,,
sensitivity,crypto-keys,Cryptographic keys / secrets,"Private keys, API secrets, HSM contents",Technology,25,,,,,
sensitivity,source-code,Source code / intellectual property,"Proprietary algorithms, trade secrets",Technology,15,,,,,
sensitivity,user-analytics,User analytics / telemetry,"Usage patterns, A/B test data, anonymized metrics",Technology,5,,,,,
sensitivity,scada-ot,SCADA/OT operational data,"Industrial control commands, safety system configs",Energy & Utilities,25,,,,,
sensitivity,grid-topology,Grid topology / infrastructure maps,"Distribution network, substation configurations",Energy & Utilities,15,,,,,
sensitivity,meter-readings,Meter readings / consumption data,"AMI data, billing usage, demand forecasts",Energy & Utilities,5,,,,,
sensitivity,ad-algorithms,Autonomous driving algorithms,"ML models, sensor fusion logic, safety-critical code",Automotive,25,,,,,
sensitivity,v2x-data,V2X communication data,"Vehicle-to-infrastructure messages, location data",Automotive,15,,,,,
sensitivity,vehicle-telemetry,Vehicle telemetry,"Engine diagnostics, performance metrics, OBD data",Automotive,5,,,,,
sensitivity,flight-control,Flight control software / avionics,"Safety-critical algorithms, weapons systems",Aerospace,25,,,,,
sensitivity,passenger-pii,Passenger manifests / crew PII,"Travel records, passport data, security clearances",Aerospace,15,,,,,
sensitivity,maintenance-logs,Maintenance logs,"Service records, parts inventory, compliance documentation",Aerospace,5,,,,,
sensitivity,pci-data,Payment card data (PCI scope),"Card numbers, CVVs, transaction auth data","Retail & E-Commerce;Finance & Banking",15,,,,,
sensitivity,customer-purchase,Customer purchase history / PII,"Order history, addresses, preferences",Retail & E-Commerce,5,,,,,
sensitivity,product-catalog,Product catalog,"Public listings, pricing, inventory counts",Retail & E-Commerce,0,,,,,
sensitivity,student-records,Student records (FERPA),"Grades, disciplinary records, financial aid",Education,15,,,,,
sensitivity,research-ip,Research data / IP,"Unpublished research, grant proposals, patent-pending work",Education,15,,,,,
sensitivity,course-catalog,Course catalogs / schedules,"Public curriculum, class listings, academic calendar",Education,0,,,,,
