Country,FlagCode,OrgName,OrgFullName,OrgLogoUrl,Type,Category,StartYear,EndYear,Title,Description,SourceUrl,SourceDate
European Union,EU,EC/ENISA,European Commission / ENISA,,Milestone,Deadline,2035,2035,Full EU PQC Transition,Complete PQC transition for as many systems as practically feasible across Europe.,https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography,2025-06-23
France,FR,ANSSI,National Cybersecurity Agency of France,,Milestone,Guidance,2022,2022,PQC Position Paper Published,ANSSI releases initial position paper on post-quantum cryptography transition with three-phase roadmap.,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition,2022-01-04
France,FR,ANSSI,National Cybersecurity Agency of France,,Phase,Migration,2022,2025,Phase 1 - Defense in Depth,Hybridization provides optional post-quantum defense-in-depth while maintaining pre-quantum security assurance.,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition,2022-01-04
France,FR,ANSSI,National Cybersecurity Agency of France,,Milestone,Guidance,2023,2023,PQC Follow-up Paper Published,ANSSI releases follow-up position paper accelerating PQC timeline. Security visas for hybrid PQC expected 2024-2025.,https://cyber.gouv.fr/en/publications/follow-position-paper-post-quantum-cryptography,2023-12-01
France,FR,ANSSI,National Cybersecurity Agency of France,,Phase,Testing,2024,2025,Security Visa Certification,ANSSI security visa certification for hybrid PQC products begins. Required for Phase 2 compliance.,https://cyber.gouv.fr/en/publications/follow-position-paper-post-quantum-cryptography,2023-12-01
France,FR,ANSSI,National Cybersecurity Agency of France,,Milestone,Research,2025,2025,PQC Preparedness Study Published,ANSSI publishes study showing significant lack of PQC preparedness among French organizations.,https://pqshield.com/anssi-study-assesses-pqc-preparedness/,2025-03-01
France,FR,ANSSI,National Cybersecurity Agency of France,,Phase,Migration,2025,2030,Phase 2 - Hybrid Security,Hybridization provides post-quantum security assurance while avoiding pre-quantum security regression. Security visas available.,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition,2022-01-04
France,FR,ANSSI,National Cybersecurity Agency of France,,Milestone,Deadline,2030,2030,Pre-Quantum Only Prohibited,New products should avoid using only pre-quantum cryptography.,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition,2022-01-04
France,FR,ANSSI,National Cybersecurity Agency of France,,Phase,Migration,2030,2035,Phase 3 - Standalone PQC,Optional standalone post-quantum cryptography (without hybridization) becomes acceptable.,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition,2022-01-04
G7,G7,G7 CEG,G7 Cyber Expert Group,,Milestone,Policy,2024,2024,G7 Statement on Quantum Computing,G7 issues statement on planning for opportunities and risks of quantum computing for cybersecurity.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2024-09-01
G7,G7,G7 CEG,G7 Cyber Expert Group,,Milestone,Guidance,2024,2024,Financial Sector Advisory,G7 CEG advises financial authorities to assess quantum risks and develop migration plans highlighting harvest now decrypt later threat.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025.pdf,2024-09-25
Germany,DE,BSI,Federal Office for Information Security,,Milestone,Guidance,2024,2024,TR-02102 PQC Update,"BSI updates Technical Guideline TR-02102-1 with PQC recommendations including ML-KEM, ML-DSA, SLH-DSA.",https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Quantentechnologien-und-Post-Quanten-Kryptografie/quantentechnologien-und-post-quanten-kryptografie_node.html,2024-10-16
Germany,DE,BSI,Federal Office for Information Security,,Milestone,Policy,2024,2024,EU Joint Statement on PQC,BSI with 17 EU member states issues joint statement urging transition to PQC for most sensitive use cases by 2030.,https://www.bsi.bund.de/EN/Service-Navi/Presse/Pressemitteilungen/Presse2024/241127_Post-Quantum_Cryptography.html,2024-11-28
Germany,DE,BSI,Federal Office for Information Security,,Phase,Discovery,2024,2026,Crypto-Agility Implementation,BSI with 21 EU member states issues joint statement urging transition to PQC for most sensitive use cases by 2030.,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Quantentechnologien-und-Post-Quanten-Kryptografie/quantentechnologien-und-post-quanten-kryptografie_node.html,2024-01-01
Germany,DE,BSI,Federal Office for Information Security,,Phase,Testing,2024,2026,PQC Pilot Implementations,Pilot implementations of PQC in selected government sectors. PQC in Botan library available.,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Quantentechnologien-und-Post-Quanten-Kryptografie/quantentechnologien-und-post-quanten-kryptografie_node.html,2024-10-16
Germany,DE,BSI,Federal Office for Information Security,,Milestone,Guidance,2025,2025,TR-02102-1 January 2025 Update,BSI updates Technical Guideline TR-02102-1 requiring hybrid-only PQC implementations. FrodoKEM and Classic McEliece recommended.,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Quantentechnologien-und-Post-Quanten-Kryptografie/quantentechnologien-und-post-quanten-kryptografie_node.html,2025-01-01
Germany,DE,BSI,Federal Office for Information Security,,Phase,Migration,2026,2030,Hybrid Implementation Phase,Mandatory hybrid (classical+PQC) deployment for all systems handling sensitive data.,https://www.bsi.bund.de/EN/Service-Navi/Presse/Pressemitteilungen/Presse2024/241127_Post-Quantum_Cryptography.html,2024-11-28
Germany,DE,BSI,Federal Office for Information Security,,Milestone,Deadline,2030,2030,Sensitive Use Cases Protected,Most sensitive use cases should be protected against quantum attacks.,https://www.bsi.bund.de/EN/Service-Navi/Presse/Pressemitteilungen/Presse2024/241127_Post-Quantum_Cryptography.html,2024-11-28
Germany,DE,BSI,Federal Office for Information Security,,Milestone,Deadline,2032,2032,Long-term Data Migration Complete,Recommended completion of migration for data with long-term security needs.,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Quantentechnologien-und-Post-Quanten-Kryptografie/quantentechnologien-und-post-quanten-kryptografie_node.html,2023-01-01
India,IN,DST,Department of Science and Technology,,Milestone,Policy,2023,2023,National Quantum Mission Launched,"India launches National Quantum Mission with ₹6,003 crore (~$720M) budget including PQC research through 2031.",https://pib.gov.in/PressReleasePage.aspx?PRID=1916886,2023-04-19
India,IN,TEC,Telecom Engineering Centre,,Milestone,Guidance,2025,2025,TEC PQC Migration Guidance,Telecom Engineering Centre publishes PQC migration guidance for telecommunications sector.,https://tec.gov.in/,2025-03-01
India,IN,ISRO,Indian Space Research Organisation,,Milestone,Standardization,2025,2025,First Quantum-Secure Satellite,Space TS and Synergy Quantum announce India first PQC-secured satellite demonstration.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025.pdf,2025-07-01
Israel,IL,INCD,Israel National Cyber Directorate,,Milestone,Guidance,2022,2022,PQC Readiness Guide Published,Organizational Cyber Readiness to the Post-Quantum Age guidance published.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2022-01-01
Israel,IL,BOI,Bank of Israel,,Milestone,Regulation,2025,2025,Banking PQC Requirements,"Requirement for financial services firms to manage quantum risk, develop cryptographic inventory and initial migration plan.",https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2025-01-01
Israel,IL,BOI,Bank of Israel,,Milestone,Regulation,2025,2025,BOI Directive 202501EN,"Bank of Israel Directive requiring banking institutions to manage quantum risk, develop cryptographic inventories.",https://www.boi.org.il/,2025-01-07
Israel,IL,NDA,National Digital Agency,,Milestone,Deadline,2025,2025,Government PQC Assessment Deadline,Government ministries must complete quantum threat assessments and include PQC in new technology contracts.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025.pdf,2025-03-02
Israel,IL,INCD/BOI,Israel National Cyber Directorate / Bank of Israel,,Phase,Discovery,2025,2027,Inventory & Planning Phase,"Organizations create cryptographic inventory, add PQC to contracts, develop initial plans.",https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2025-01-01
Italy,IT,ACN,Agenzia per la Cybersicurezza Nazionale,,Milestone,Guidance,2024,2024,PQC Guidance Published,ACN publishes 'Crittografia Post-Quantum e Quantistica: Preparazione alla Minaccia Quantistica' guidance.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2024-07-01
Japan,JP,CRYPTREC,Cryptography Research and Evaluation Committees,,Milestone,Guidance,2022,2022,Initial PQC Guidelines,CRYPTREC publishes initial Cryptographic Technology Guideline for Post-Quantum Cryptography.,https://www.cryptrec.go.jp/en/whatsnew.html,2022-03-01
Japan,JP,NEDO,New Energy and Industrial Technology Development Organization,,Phase,Research,2024,2026,PQC Guidelines 2024 Edition (Published April 2025),NEDO K Program research on PQC implementation technologies. Final standardization documents due 2026.,https://pqshield.com/pqshield-announces-participation-in-nedo-program-to-implement-post-quantum-cryptography-across-japan/,2025-04-02
Japan,JP,NISC,National center of Incident readiness and Strategy for Cybersecurity,,Phase,Discovery,2024,2026,PQC Migration Planning,"Following NIST standardization, focusing on lattice-based and hash-based algorithms. CRYPTREC preparing detailed guidelines.",https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2025-03-02
Japan,JP,CRYPTREC,Cryptography Research and Evaluation Committees,,Milestone,Guidance,2025,2025,PQC Guidelines 2024 Edition,CRYPTREC publishes Post-Quantum Cryptography Technology Guideline 2024 edition (released March 2025).,https://www.cryptrec.go.jp/en/whatsnew.html,2025-03-01
Japan,JP,NISC,National center of Incident readiness and Strategy for Cybersecurity,,Phase,Migration,2026,2030,Critical Systems Migration,Target for migrating critical government systems. Dual-track approach: PQC and QKD technologies.,https://itbusinesstoday.com/tech/cybersecurity/japans-national-cyber-defense-push-preparing-for-quantum-driven-threats/,2025-10-06
Malaysia,MY,NACSA,National Cyber Security Agency,,Milestone,Policy,2025,2025,National PQC Readiness Roadmap,Malaysia unveils National Post-Quantum Cryptography Readiness Roadmap as ASEAN leader.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025.pdf,2025-10-01
Malaysia,MY,NACSA,National Cyber Security Agency,,Milestone,Guidance,2025,2025,World Largest PQC Conference,"Malaysia hosts world largest PQC conference with 2,500 delegates in October 2025.",https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025.pdf,2025-10-01
Malaysia,MY,NACSA,National Cyber Security Agency,,Phase,Discovery,2025,2027,National PQC Assessment,Government agencies conduct cryptographic inventory and quantum risk assessment under national roadmap.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025.pdf,2025-10-01
NATO,NATO,NATO,North Atlantic Treaty Organization,,Milestone,Policy,2024,2024,Quantum Technologies Strategy,NATO publishes first Quantum Technologies Strategy with five PQC-specific commitments.,https://www.nato.int/,2024-01-17
NATO,NATO,NATO,North Atlantic Treaty Organization,,Phase,Migration,2024,2030,Transatlantic Quantum Community,Deploy PQC and QKD through Transatlantic Quantum Community joint research and implementation.,https://www.nato.int/,2024-01-17
NATO,NATO,NATO,North Atlantic Treaty Organization,,Milestone,Deadline,2027,2027,Classified Networks PQC,Target for transitioning classified NATO networks to FIPS PQC algorithms.,https://www.nato.int/,2024-01-17
Netherlands,NL,AIVD/NCSC,General Intelligence and Security Service / NCSC,,Milestone,Guidance,2022,2022,TLS Guidelines Published,NCSC publishes Guidelines for Quantum-Safe Transport Layer Encryption.,https://www.ncsc.nl/documenten/publicaties/2022/juli/guidelines-for-quantum-safe-transport-layer-encryption/guidelines-for-quantum-safe-transport-layer-encryption,2022-07-01
Netherlands,NL,AIVD,General Intelligence and Security Service,,Milestone,Guidance,2023,2023,PQC Migration Handbook v1,"AIVD, CWI, and TNO publish first edition of PQC Migration Handbook.",https://english.aivd.nl/topics/quantum-technology,2023-12-01
Netherlands,NL,AIVD/NCSC,General Intelligence and Security Service / NCSC,,Milestone,Guidance,2024,2024,Quantum Secure Guide Published,"AIVD and NCSC publish 'Make your organization quantum secure' guidance for CIOs, CTOs, CISOs.",https://english.ncsc.nl/publications/publications/2024/march/25/quantum-secure,2024-03-25
Netherlands,NL,AIVD,General Intelligence and Security Service,,Milestone,Guidance,2024,2024,PQC Migration Handbook v2,"AIVD, CWI, and TNO publish renewed PQC Migration Handbook (2nd edition) with updated guidance.",https://english.aivd.nl/latest/news/2024/12/03/aivd-cwi-and-tno-publish-renewed-handbook-for-quantum-safe-cryptography,2024-12-03
Netherlands,NL,AIVD/NCSC,General Intelligence and Security Service / NCSC,,Phase,Discovery,2024,2026,Risk Analysis & Planning,"Organizations conduct risk analysis, map cryptographic assets, and prepare migration plan.",https://english.ncsc.nl/publications/publications/2024/march/25/quantum-secure,2024-03-25
Netherlands,NL,AIVD/NCSC,General Intelligence and Security Service / NCSC,,Phase,Migration,2026,2035,PQC Migration Execution,Execute migration paths to quantum-safe cryptography.,https://english.ncsc.nl/publications/publications/2024/march/25/quantum-secure,2024-03-25
Netherlands,NL,AIVD,General Intelligence and Security Service,,Milestone,Deadline,2030,2040,Q-Day Window,AIVD estimates quantum computers will break common cryptographic algorithms between 2030 and 2040.,https://english.aivd.nl/topics/quantum-technology,2024-12-03
New Zealand,NZ,GCSB/NCSC,Government Communications Security Bureau / NCSC,,Milestone,Guidance,2024,2024,NZISM v3.8 Updated,New Zealand Information Security Manual updated with PQC guidance.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2024-09-01
New Zealand,NZ,GCSB/NCSC,Government Communications Security Bureau / NCSC,,Phase,Discovery,2024,2026,NZISM v3.9 Updated,New Zealand Information Security Manual updated with PQC guidance including Section 2.4 on PQC preparation and Section 17.1.19 on quantum computing impacts.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2025-11-01
New Zealand,NZ,GCSB/NCSC,Government Communications Security Bureau / NCSC,,Phase,Migration,2026,2030,Transition Phase,Transition to PQC begins from 2026-27.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2024-09-01
Singapore,SG,CSA,Cyber Security Agency,,Milestone,Guidance,2022,2022,Initial PQC Guidance,CSA issues initial guidance on quantum computing threats and PQC preparation.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2022-01-01
Singapore,SG,MAS,Monetary Authority of Singapore,,Milestone,Regulation,2024,2024,Financial Services PQC Requirements,MAS requires financial services firms to prepare PQC transition plan.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2024-01-01
Singapore,SG,MAS,Monetary Authority of Singapore,,Milestone,Policy,2024,2024,FSTI Quantum Track Announced,MAS commits S$100 million for quantum and AI capabilities in financial sector through 2030.,https://www.mas.gov.sg/news/media-releases/2024/mas-commits-up-to-s$100-million-to-support-quantum-and-artificial-intelligence-capabilities,2024-11-06
Singapore,SG,CSA/MAS,Cyber Security Agency / Monetary Authority of Singapore,,Phase,Discovery,2024,2026,MAS Advisory MAS/TCRS/2024/01,"MAS Advisory requiring financial services firms to maintain cryptographic inventories, develop migration strategies, and work with vendors.",https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2024-02-01
Singapore,SG,CSA,Cyber Security Agency,,Milestone,Guidance,2025,2025,CSA Quantum-Safe Handbook,CSA publishes Quantum-Safe Handbook for public consultation with Quantum Readiness Index (QRI) self-assessment tool.,https://www.csa.gov.sg/,2025-10-01
Singapore,SG,MAS,Monetary Authority of Singapore,,Phase,Migration,2025,2030,Financial Sector Quantum Track,Financial institutions implement quantum-safe solutions under FSTI Quantum Track program.,https://www.mas.gov.sg/news/media-releases/2024/mas-commits-up-to-s$100-million-to-support-quantum-and-artificial-intelligence-capabilities,2024-11-06
South Korea,KR,NIS,National Intelligence Service,,Milestone,Policy,2021,2021,KpqC Research Group Established,NIS and NSR establish Korean Post-Quantum Cryptography (KpqC) research group.,https://kpqc.cryptolab.co.kr/,2021-11-01
South Korea,KR,NIS/MSIT,National Intelligence Service / Ministry of Science & ICT,,Milestone,Policy,2023,2023,PQC Master Plan Published,NIS and MSIT publish PQC Master Plan with six tracks for nationwide transformation.,https://thereadable.co/south-korea-announces-master-plan-for-post-quantum-cryptography/,2023-06-27
South Korea,KR,NIS,National Intelligence Service,,Phase,Discovery,2023,2024,Action Plans Development,"Develop action plans for six tracks: technology, regulations, procedures, support systems, assurance, industry base.",https://thereadable.co/south-korea-announces-master-plan-for-post-quantum-cryptography/,2023-06-27
South Korea,KR,NIS,National Intelligence Service,,Milestone,Standardization,2025,2025,KpqC Winners Announced,"NIS announces final winners of KpqC competition: HAETAE, AIMer (signatures); SMAUG-T, NTRU+ (KEMs).",https://pqshield.com/south-korea-announces-winners-of-kpqc-competition/,2025-01-16
South Korea,KR,NIS,National Intelligence Service,,Phase,Testing,2025,2028,Pilot Transition Phase,Establishment of procedures and pilot transition for cryptography transformation. Supporting systems development.,https://pqshield.com/south-korea-announces-winners-of-kpqc-competition/,2025-01-16
South Korea,KR,NIS,National Intelligence Service,,Phase,Migration,2028,2035,National Migration Phase,Nationwide cryptography systems transformation to post-quantum cryptography.,https://thereadable.co/south-korea-announces-master-plan-for-post-quantum-cryptography/,2023-06-27
South Korea,KR,NIS,National Intelligence Service,,Milestone,Deadline,2035,2035,Full PQC Transition,Complete nationwide cryptography systems transformation to post-quantum cryptography.,https://thereadable.co/south-korea-announces-master-plan-for-post-quantum-cryptography/,2023-06-27
Spain,ES,CCN,Centro Criptológico Nacional,,Milestone,Guidance,2022,2022,Four-Phase PQC Approach,CCN defines four-phase approach from today through post-2030. Recommends NIST algorithms and FrodoKEM.,https://www.gsma.com/newsroom/wp-content/uploads//Post-Quantum-Government-Initiatives-by-Country-and-Region-02-Mar-2025-Clean.pdf,2022-01-01
