software_name,category,latest_version,release_date,license,authoritative_source,product_brief,pqc_support,fips_validated,primary_platforms,pqc_readiness_score,migration_timeline,relevant_standards,deployment_urgency,industry_impact
liboqs,PQC Library,0.15.0,2025-11-14,MIT,https://openquantumsafe.org/,Open source C library for quantum-safe cryptographic algorithms. Part of Open Quantum Safe project under Linux Foundation PQCA.,Yes (ML-KEM ML-DSA SLH-DSA BIKE HQC FrodoKEM Classic McEliece),No,Linux macOS Windows,80,Ready Now (2025),FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,All Industries
oqs-provider,PQC TLS Provider,0.8.0,2025,MIT,https://github.com/open-quantum-safe/oqs-provider,OpenSSL 3 provider enabling quantum-safe and hybrid key exchange for TLS 1.3 X.509 and CMS operations.,Yes (All liboqs algorithms),No,Linux macOS Windows,0,Early 2026,FIPS 203 (ML-KEM); RFC 8446; IETF TLS 1.3 Hybrid KEM,MEDIUM - Plan migration,All Industries
GnuTLS,TLS/SSL Library,3.8.11,2025-11-20,LGPLv2.1+,https://www.gnutls.org/,GNU implementation of TLS SSL and DTLS protocols. Features SRP X.509 OpenPGP authentication. Used by many GNU/Linux applications.,Yes (ML-KEM X25519MLKEM768 ML-DSA via liboqs/leancrypto),No,Linux Unix,60,Ready Now (2025),FIPS 203 (ML-KEM); RFC 8446; IETF TLS 1.3 Hybrid KEM,CRITICAL - High visibility exposure,All Industries
OpenSSH,SSH Implementation,10.2,2025-10-10,BSD,https://www.openssh.org/,Premier connectivity tool for SSH protocol. Provides secure tunneling multiple authentication methods. Default key exchange now uses mlkem768x25519-sha256 hybrid PQC.,Yes (mlkem768x25519-sha256 default),No,OpenBSD Linux macOS Windows,0,Early 2026,draft-kampanakis-ml-kem-ikev2; RFC 4253,HIGH - Privileged access,"All Industries (DevOps, Operations)"
Mbed TLS,TLS/SSL Library,3.6.5,2025-10-15,Apache-2.0,https://github.com/Mbed-TLS/mbedtls,Portable easy-to-use TLS library for embedded systems. Reference implementation of PSA Cryptography API. Small code footprint for IoT.,No (PQC planned for 4.x),No,Embedded ARM Linux FreeRTOS,15,Mid 2026,FIPS 203 (ML-KEM); RFC 8446; IETF TLS 1.3 Hybrid KEM,CRITICAL - High visibility exposure,All Industries
HashiCorp Vault,Key Management System,1.21.1,2025-11-19,BUSL-1.1/Enterprise,https://developer.hashicorp.com/vault,Enterprise secrets management encryption-as-a-service and privileged access management. Supports PKI SSH transit encryption.,Yes (SLH-DSA in Transit experimental),Yes (Enterprise HSM),Linux Windows macOS Kubernetes,25,Early 2026,FIPS 203; FIPS 204; FIPS 205,CRITICAL - Key protection,Multiple Industries
GnuPG (GPG),Encryption Tool,2.5.14 (dev) / 2.4.8 (stable),2025,GPLv3,https://gnupg.org/,Complete OpenPGP implementation for encryption signing and key management. Supports S/MIME and SSH. Foundation of email encryption ecosystem.,No,No,Linux Windows macOS,0,High Priority - Q2 2026 target,FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
Gpg4win,Encryption Suite,4.4.1,2025-05-26,GPLv3,https://www.gpg4win.org/,Windows GnuPG distribution with Kleopatra key manager GpgOL Outlook plugin and GpgEX Explorer extension.,No,No,Windows,0,High Priority - Q2 2026 target,FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
LibreSSL,TLS/SSL Library,4.2.1,2025-10-30,OpenBSD/ISC,https://www.libressl.org/,OpenBSD fork of OpenSSL focused on code modernization and security. Includes libtls for simplified secure programming.,Yes (ML-KEM 768/1024 imported from BoringSSL - not yet public API),No,OpenBSD Linux Windows FreeBSD,30,Ready Now (2025),FIPS 203 (ML-KEM); RFC 8446; IETF TLS 1.3 Hybrid KEM,CRITICAL - High visibility exposure,All Industries
BoringSSL,TLS/SSL Library,Rolling,Continuous,OpenSSL/ISC,https://boringssl.googlesource.com/boringssl/,Google's fork of OpenSSL optimized for Google's needs. Not intended for general use but influences industry standards.,Yes (ML-KEM),Yes (BoringCrypto FIPS 140-2),Linux Android Chrome,35,Ready Now (2025),FIPS 203 (ML-KEM); RFC 8446; IETF TLS 1.3 Hybrid KEM,CRITICAL - High visibility exposure,All Industries
AWS s2n-tls,TLS Library,1.5.x,2025,Apache-2.0,https://github.com/aws/s2n-tls,AWS's C99 implementation of TLS/SSL protocols. Designed for simplicity security and performance. Small codebase (~6000 lines).,Yes (Kyber hybrid),No,Linux,40,Early 2026,FIPS 203 (ML-KEM); RFC 8446; IETF TLS 1.3 Hybrid KEM,MEDIUM - Plan migration,All Industries
rustls,TLS Library,0.23.x,2025,Apache-2.0/MIT,https://github.com/rustls/rustls,Modern TLS library written in Rust. Memory-safe alternative to OpenSSL. No unsafe code in core library.,Yes (via aws-lc-rs),No,Linux macOS Windows,0,Early 2026,FIPS 203 (ML-KEM); RFC 8446; IETF TLS 1.3 Hybrid KEM,MEDIUM - Plan migration,All Industries
EJBCA,PKI/CA Software,9.x,2025,LGPL/Enterprise,https://www.ejbca.org/,Enterprise PKI and Certificate Authority software. Supports X.509 CMP SCEP EST ACME protocols.,Yes (via Bouncy Castle),Yes (Enterprise),Linux Windows Docker Kubernetes,5,Early 2026,FIPS 203; IETF LAMPS Composite; FIPS 204; X.509,CRITICAL - Trust infrastructure,All Industries
Keyfactor EJBCA,PKI/CA Software,Enterprise 9.x,2025,Commercial,https://www.keyfactor.com/,Commercial enterprise PKI platform with cloud deployment HSM integration and crypto agility features.,Yes,Yes (FIPS 140-2),Cloud Linux Windows,5,Early 2026,FIPS 203; IETF LAMPS Composite; FIPS 204; X.509,CRITICAL - Trust infrastructure,All Industries
Venafi Trust Protection Platform,Certificate Management,Current,2025,Commercial,https://venafi.com/,Machine identity management platform. Automates certificate lifecycle across enterprise infrastructure.,Yes (Crypto agility),Yes,Cloud Enterprise,5,Early 2026,FIPS 203; IETF LAMPS Composite; FIPS 204; X.509,CRITICAL - PKI automation,Multiple Industries
Microsoft CNG,Cryptographic API,Windows 11 24H2,2025,Proprietary,https://learn.microsoft.com/en-us/windows/win32/seccng/,Windows Cryptography Next Generation API. Provides crypto primitives for Windows applications.,Limited,Yes (FIPS 140-2),Windows,35,Early 2026,FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
Apple CryptoKit,Cryptographic Framework,iOS 18/macOS 15,2025,Proprietary,https://developer.apple.com/documentation/cryptokit,Swift framework for cryptographic operations on Apple platforms. Hardware-accelerated using Secure Enclave.,No,Yes (via corecrypto),iOS macOS watchOS tvOS,5,Urgent - Q1 2026 target,FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
Java Cryptography Architecture (JCA),Cryptographic API,Java 21+,2025,GPLv2+CE,https://docs.oracle.com/en/java/javase/21/security/,Standard Java security framework providing cryptographic services via pluggable provider architecture.,Limited (via providers),Yes (via certified providers),Cross-platform,35,Early 2026,FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
.NET Cryptography,Cryptographic API,.NET 9,2025,MIT,https://learn.microsoft.com/en-us/dotnet/standard/security/cryptography-model,Microsoft .NET cryptographic services including System.Security.Cryptography namespace.,Limited,Yes (via Windows CNG),Windows Linux macOS,35,Early 2026,FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
Nettle,Cryptographic Library,3.10,2024,LGPLv3,https://www.lysator.liu.se/~nisse/nettle/,Low-level cryptographic library used by GnuTLS and other projects. Focus on simplicity and correctness.,No,No,Linux Unix,0,Urgent - Q1 2026 target,FIPS 203; FIPS 204; FIPS 205,CRITICAL - Foundation for all crypto,All Industries
Libgcrypt,Cryptographic Library,1.11.x,2025,LGPLv2.1+,https://gnupg.org/software/libgcrypt/,General purpose cryptographic library used by GnuPG. Provides wide range of algorithms and protocols.,No,Yes (FIPS mode),Linux Unix Windows,5,Urgent - Q1 2026 target,FIPS 203; FIPS 204; FIPS 205,CRITICAL - Foundation for all crypto,All Industries
NSS (Network Security Services),TLS/SSL Library,3.107,2025,MPL-2.0,https://firefox-source-docs.mozilla.org/security/nss/,Mozilla's security libraries supporting SSL/TLS PKCS standards and cryptographic algorithms. Used by Firefox Thunderbird.,Limited,Yes (FIPS 140-2),Linux Windows macOS,35,Early 2026,FIPS 203 (ML-KEM); RFC 8446; IETF TLS 1.3 Hybrid KEM,CRITICAL - High visibility exposure,All Industries
PKCS#11 (Cryptoki),Interface Standard,3.1,2023,OASIS Standard,https://www.oasis-open.org/committees/pkcs11/,Standard API for cryptographic tokens (HSMs smart cards). Defines interface between applications and crypto devices.,,,Cross-platform,0,2027+,FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
Thales Luna HSM,HSM Software,7.x,2025,Commercial,https://cpl.thalesgroup.com/encryption/hardware-security-modules,Enterprise HSM management software for Luna Network and PCIe HSMs. FIPS 140-3 Level 3 certified.,Yes (PQC ready),Yes (FIPS 140-3 L3),Linux Windows,10,Early 2026,FIPS 203/204/205; FIPS 140-3; PKCS#11 v3.1,CRITICAL - Root of trust,"Finance, Government, Healthcare, Defense"
Entrust nShield,HSM Software,13.x,2025,Commercial,https://www.entrust.com/digital-security/hsm,Enterprise HSM solution with CodeSafe secure execution environment. Supports hybrid classical/PQC modes.,Yes (Hybrid PQC),Yes (FIPS 140-2 L3),Linux Windows,15,Early 2026,FIPS 203/204/205; FIPS 140-3; PKCS#11 v3.1,CRITICAL - Root of trust,"Finance, Government, Healthcare, Defense"
Utimaco SecurityServer,HSM Software,5.x,2025,Commercial,https://utimaco.com/,General purpose HSM platform for enterprise cryptographic operations and key management.,Yes (PQC roadmap),Yes (FIPS 140-2 L3),Linux Windows,5,Early 2026,FIPS 203/204/205; FIPS 140-3; PKCS#11 v3.1,CRITICAL - Root of trust,"Finance, Government, Healthcare, Defense"
AWS CloudHSM,Cloud HSM,Current,2025,Commercial (AWS),https://aws.amazon.com/cloudhsm/,Single-tenant HSM clusters in AWS cloud. FIPS 140-2 Level 3 validated. Supports PKCS#11 JCE OpenSSL.,Limited,Yes (FIPS 140-2 L3),AWS Cloud,35,Early 2026,FIPS 203/204/205; FIPS 140-3; PKCS#11 v3.1,CRITICAL - Cloud trust anchor,"Finance, Government, Healthcare, Defense"
Azure Dedicated HSM,Cloud HSM,Current,2025,Commercial (Microsoft),https://azure.microsoft.com/en-us/products/azure-dedicated-hsm,Thales Luna HSMs deployed in Azure datacenters for customer-exclusive use.,Yes (via Thales),Yes (FIPS 140-2 L3),Azure Cloud,5,Early 2026,FIPS 203/204/205; FIPS 140-3; PKCS#11 v3.1,CRITICAL - Cloud trust anchor,"Finance, Government, Healthcare, Defense"
Google Cloud HSM,Cloud HSM,Current,2025,Commercial (Google),https://cloud.google.com/kms/docs/hsm,Cloud-hosted HSMs for cryptographic key operations. FIPS 140-2 Level 3 certified.,Limited,Yes (FIPS 140-2 L3),Google Cloud,35,Early 2026,FIPS 203/204/205; FIPS 140-3; PKCS#11 v3.1,CRITICAL - Cloud trust anchor,"Finance, Government, Healthcare, Defense"
AWS KMS,Key Management Service,Current,2025,Commercial (AWS),https://aws.amazon.com/kms/,Managed service for creating and controlling encryption keys. Integrates with AWS services.,Limited (Hybrid),Yes (FIPS 140-2 L2),AWS Cloud,35,Early 2026,FIPS 203; FIPS 204; FIPS 205,CRITICAL - Key protection,Multiple Industries
Azure Key Vault,Key Management Service,Current,2025,Commercial (Microsoft),https://azure.microsoft.com/en-us/products/key-vault,Cloud service for safeguarding cryptographic keys and secrets. HSM-backed options available.,Limited,Yes (FIPS 140-2),Azure Cloud,35,Early 2026,FIPS 203; FIPS 204; FIPS 205,CRITICAL - Key protection,Multiple Industries
Google Cloud KMS,Key Management Service,Current,2025,Commercial (Google),https://cloud.google.com/security/products/security-key-management,Centralized cloud service for managing encryption keys. External key manager support available.,Limited,Yes (FIPS 140-2),Google Cloud,35,Early 2026,FIPS 203; FIPS 204; FIPS 205,CRITICAL - Key protection,Multiple Industries
Signal Protocol,Secure Messaging Protocol,Current,2025,GPLv3,https://signal.org/docs/,Double Ratchet protocol providing end-to-end encryption with forward secrecy and post-compromise security.,Yes (PQXDH experimental),No,Cross-platform,0,Early 2026,FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
WireGuard,VPN Protocol,1.0.20210914,2021,GPLv2,https://www.wireguard.com/,Modern VPN protocol using state-of-the-art cryptography. Simple fast and secure alternative to IPsec/OpenVPN.,No,No,Linux Windows macOS iOS Android,0,High Priority - Q2 2026 target,FIPS 203; FIPS 204; FIPS 205,HIGH - Network security,Multiple Industries
strongSwan,IPsec Implementation,6.0.0,2025,GPLv2,https://www.strongswan.org/,Open source IPsec-based VPN solution supporting IKEv1 IKEv2 and various authentication methods.,Yes (ML-KEM experimental),Yes (FIPS mode),Linux Android macOS,35,Ready Now (2025),FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
OpenVPN,VPN Software,2.6.x,2025,GPLv2,https://openvpn.net/,Full-featured open source VPN solution using OpenSSL/mbedTLS for encryption. Enterprise and community editions.,Via OpenSSL/mbedTLS,Via crypto backend,Linux Windows macOS,0,High Priority - Q2 2026 target,FIPS 203; FIPS 204; FIPS 205,HIGH - Network security,Multiple Industries
Sigstore/Cosign,Code Signing,2.x,2025,Apache-2.0,https://www.sigstore.dev/,Keyless signing for software artifacts. Part of Linux Foundation. Used for container and artifact verification.,No,No,Linux macOS Windows,0,High Priority - Q2 2026 target,FIPS 205 (SLH-DSA); FIPS 204 (ML-DSA),HIGH - Supply chain integrity,"Software Development, All Industries"
age,Encryption Tool,1.2.x,2025,BSD-3-Clause,https://github.com/FiloSottile/age,Modern file encryption tool designed as replacement for GPG. Simple explicit and composable design.,No,No,Linux macOS Windows,0,High Priority - Q2 2026 target,FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
SOPS,Secrets Management,3.9.x,2025,MPL-2.0,https://github.com/getsops/sops,Editor of encrypted files supporting YAML JSON ENV INI formats. Integrates with cloud KMS and PGP.,Via backends,Via backends,Linux macOS Windows,0,2027+,FIPS 203; FIPS 204; FIPS 205,MEDIUM - Plan migration,Multiple Industries
